Date,BAJAJ-AUTO.NS,HEROMOTOCO.NS,zscore,s1Buy,s1Sell,s1Profit,s1Performance,s2buy,s2Sell,s2Profit,s2Performance
2020-05-12,2302.76025390625,1916.8780517578125,-0.32557516113291185,,2302.76025390625,4.861328125,-243.2484130859375,1916.8780517578125,,47.5069580078125,357.453857421875
2020-05-13,2361.58056640625,1983.3338623046875,-1.0996639976408127,2361.58056640625,,,-243.2484130859375,,1983.3338623046875,,357.453857421875
2020-05-14,2367.405517578125,2032.0645751953125,-2.946930487217644,,,,-243.2484130859375,,,,357.453857421875
2020-05-15,2333.19970703125,1988.727783203125,-2.044485566872325,,,,-243.2484130859375,,,,357.453857421875
2020-05-18,2170.14013671875,1877.2130126953125,-3.154546827266313,,,,-243.2484130859375,,,,357.453857421875
2020-05-19,2198.03955078125,1879.8875732421875,-1.8517611750551974,,,,-243.2484130859375,,,,357.453857421875
2020-05-20,2240.479736328125,1834.64697265625,2.2729071877551124,,2240.479736328125,-121.100830078125,-364.3492431640625,1834.64697265625,,148.6868896484375,506.1407470703125
2020-05-21,2312.833740234375,1921.5924072265625,0.7192088154576969,,,,-364.3492431640625,,,,506.1407470703125
2020-05-22,2236.975830078125,1949.78857421875,-3.6279723320699278,,,,-364.3492431640625,,,,506.1407470703125
2020-05-26,2246.698974609375,1916.2884521484375,-1.3733274415792047,2246.698974609375,,,-364.3492431640625,,1916.2884521484375,,506.1407470703125
2020-05-27,2260.451416015625,1972.49951171875,-3.2516289011436554,,,,-364.3492431640625,,,,506.1407470703125
2020-05-28,2277.48876953125,2083.51611328125,-6.960714454964815,,,,-364.3492431640625,,,,506.1407470703125
2020-05-29,2374.2822265625,2140.406494140625,-5.070042594897829,,,,-364.3492431640625,,,,506.1407470703125
2020-06-01,2416.15283203125,2109.082763671875,-1.8274607855863287,,,,-364.3492431640625,,,,506.1407470703125
2020-06-02,2449.26416015625,2101.784423828125,-0.15430646931035463,,2449.26416015625,202.565185546875,-161.7840576171875,2101.784423828125,,-185.4959716796875,320.644775390625
2020-06-03,2438.13916015625,2085.41943359375,0.1498758723500155,,,,-161.7840576171875,,,,320.644775390625
2020-06-04,2467.79052734375,2111.756591796875,0.09458716209654225,,,,-161.7840576171875,,,,320.644775390625
2020-06-05,2431.920166015625,2122.09228515625,-1.6312738463435106,2431.920166015625,,,-161.7840576171875,,2122.09228515625,,320.644775390625
2020-06-08,2453.600341796875,2161.666748046875,-2.308195968545529,,,,-161.7840576171875,,,,320.644775390625
2020-06-09,2444.92822265625,2164.38671875,-2.501462670758925,,,,-161.7840576171875,,,,320.644775390625
2020-06-10,2380.15087890625,2078.2119140625,-1.0727781944388564,,,,-161.7840576171875,,,,320.644775390625
2020-06-11,2381.333740234375,2094.25927734375,-1.5946384343111786,,,,-161.7840576171875,,,,320.644775390625
2020-06-12,2437.04443359375,2177.578369140625,-2.8048427209103832,,,,-161.7840576171875,,,,320.644775390625
2020-06-15,2390.09326171875,2128.892333984375,-2.2690586599871776,,,,-161.7840576171875,,,,320.644775390625
2020-06-16,2381.24609375,2172.228759765625,-4.064582127982141,,,,-161.7840576171875,,,,320.644775390625
2020-06-17,2355.84326171875,2142.62744140625,-3.428037350045393,,,,-161.7840576171875,,,,320.644775390625
